# Marker      S (mm)         S (m)        2005        2006        2007        2008        2009        2010        2011        2012
          72  1948286.5      1948.3     -15.980     -18.160     -19.230     -21.610     -22.160     -23.490     -25.680     -27.100
          73  1934104.0      1934.1     -15.700     -17.850     -19.040     -21.280     -21.890     -23.260     -24.800     -26.220
          74  1917711.5      1917.7     -15.400     -17.490     -18.470     -20.880     -21.200     -22.790     -22.980     -24.780
          75  1901819.1      1901.8     -16.540     -18.650     -19.770     -22.140     -22.740     -24.080     -25.480     -27.070
          76  1896178.6      1896.2     -16.630     -18.760     -19.870     -22.300     -22.880     -24.190     -25.800     -27.450
          77  1881447.8      1881.4     -16.610     -18.820     -19.910     -22.360     -22.930     -24.270     -25.400     -27.100
          78  1869474.7      1869.5     -16.730     -18.870     -20.000     -22.460     -23.080     -24.460     -25.170     -26.920
          79  1856248.6      1856.2     -16.250     -18.220     -19.390     -21.710     -22.220     -23.680     -24.570     -26.440
          80  1837022.4      1837.0     -16.900     -18.890     -20.100     -22.520     -23.130     -24.420     -24.950     -26.510
          81  1821118.0      1821.1     -17.060     -18.940     -20.160     -22.570     -23.220     -24.500     -25.070     -26.560
          82  1803948.3      1803.9     -16.940     -18.760     -20.010     -22.320     -22.930     -24.200     -25.180     -26.830
          83  1789313.4      1789.3     -16.370     -18.140     -19.360     -21.640     -22.320     -23.560     -24.620     -26.440
          84  1770767.5      1770.8     -16.600     -18.350     -19.590     -21.880     -22.650     -23.930     -25.740     -27.400
          85  1757778.4      1757.8     -16.200     -17.860     -19.130     -21.410     -22.150     -23.470     -24.810     -26.420
          86  1740789.2      1740.8     -15.570     -17.070     -18.470     -20.570     -21.330     -22.820     -24.810     -26.430
          87  1725800.1      1725.8     -15.750     -17.170     -18.560     -20.630     -21.480     -22.840     -23.810     -25.350
          88  1708630.5      1708.6     -15.260     -16.600     -18.000     -20.060     -20.890     -22.220     -22.840     -24.390
          89  1692619.4      1692.6     -14.940     -16.260     -17.670     -19.710     -20.500     -21.870     -22.790     -24.400
          90  1677453.1      1677.5     -14.300     -15.570     -16.970     -19.020     -19.750     -21.090     -21.170     -22.740
          91  1660286.9      1660.3     -13.690     -14.880     -16.210     -18.300     -19.100     -20.420     -20.390     -21.910
          92  1645189.7      1645.2     -13.210     -14.310     -15.710     -17.680     -18.490     -19.770     -19.810     -21.380
          93  1629592.5      1629.6     -12.520     -13.640     -15.020     -17.000     -17.770     -19.070     -20.470     -22.300
          94  1610503.5      1610.5     -13.170     -14.340     -15.660     -17.690     -18.240     -19.400     -19.490     -21.030
          95  1598955.1      1599.0     -11.990     -13.220     -14.490     -16.490     -16.990     -18.100     -18.220     -19.730
          96  1584939.4      1584.9     -11.640     -12.900     -14.160     -16.110     -16.600     -17.680     -17.910     -19.360
          97  1572080.0      1572.1     -11.370     -12.610     -13.900     -15.890     -16.200     -17.410     -17.770     -19.220
          98  1556743.2      1556.7     -10.990     -12.220     -13.500     -15.420     -15.750     -16.980     -17.490     -19.050
